"ip","port","protocol","anonymity","lastTested","allowsRefererHeader","allowsUserAgentHeader","allowsCustomHeaders","allowsCookies","allowsPost","allowsHttps","country","connectTime","downloadSpeed","secondsToFirstByte","uptime"
"38.156.238.84","999","http","anonymous","2025-05-03 05:41:03","true","true","true","true","true","true","US","1.168","50.000","5.137","6.845"
"181.198.1.85","999","http","anonymous","2025-05-03 05:40:56","true","true","true","true","true","true","EC","0.177","229.000","0.984","75.758"
"103.78.201.242","5001","http","anonymous","2025-05-03 05:40:51","true","true","true","true","","true","IN","7.357","29.000","8.851","11.488"
"172.188.122.92","80","http","anonymous","2025-05-03 05:40:22","true","true","true","true","true","true","US","1.168","55.000","3.714","54.485"
"121.101.134.236","8080","http","anonymous","2025-05-03 05:41:08","true","true","true","true","true","true","ID","1.218","38.000","6.824","18.415"
"103.39.51.207","8080","http","anonymous","2025-05-03 05:40:34","true","true","true","true","true","true","ID","3.212","40.000","5.843","10.110"
"103.169.186.181","3125","http","anonymous","2025-05-03 05:40:27","true","true","true","true","true","true","ZZ","1.196","23.000","11.647","29.664"
"181.198.1.84","999","http","anonymous","2025-05-03 05:41:32","true","true","true","true","true","true","EC","0.168","124.000","2.070","75.758"
"103.154.77.64","89","http","anonymous","2025-05-03 05:40:26","true","true","true","true","true","true","ZZ","7.291","15.000","17.247","10.535"
"47.90.205.231","33333","http","anonymous","2025-05-03 05:41:33","true","true","true","true","","true","US","1.122","26.000","7.760","79.038"
"38.7.16.194","999","http","anonymous","2025-05-03 05:40:50","true","true","true","true","","true","US","3.176","48.000","5.259","12.283"
"204.199.140.26","999","http","anonymous","2025-05-03 05:41:06","true","true","true","true","true","true","US","3.369","31.000","8.469","14.067"
"79.127.56.147","8080","http","anonymous","2025-05-03 05:41:10","true","true","true","true","true","true","IR","1.117","39.000","6.450","8.315"
"34.143.143.61","7777","http","anonymous","2025-05-03 05:41:35","true","true","true","true","true","true","US","0.194","251.000","0.819","89.805"
"38.194.253.108","999","http","anonymous","2025-05-03 05:40:55","true","true","true","true","true","true","US","0.146","47.000","5.504","7.706"
"177.93.48.44","999","http","anonymous","2025-05-03 05:41:45","true","true","true","true","true","true","BR","0.155","84.000","2.913","65.625"
"38.183.212.14","999","http","anonymous","2025-05-03 05:40:35","true","true","true","true","true","true","US","7.235","17.000","15.680","7.721"
"38.65.172.81","999","http","anonymous","2025-05-03 05:41:31","true","true","true","true","true","true","US","0.137","110.000","2.337","50.382"
"190.60.44.115","999","http","anonymous","2025-05-03 05:40:20","true","true","true","true","true","true","CO","3.170","37.000","6.970","13.613"
"38.191.43.224","999","http","anonymous","2025-05-03 05:40:23","true","true","true","true","true","true","US","0.169","62.000","4.061","11.550"
"103.169.187.95","3125","http","anonymous","2025-05-03 05:41:59","true","true","true","true","true","true","ZZ","0.187","10.000","24.968","19.783"
"202.182.59.52","10001","http","anonymous","2025-05-03 05:41:09","true","true","true","true","true","true","ID","1.213","23.000","11.020","27.221"
"195.142.25.204","19000","http","anonymous","2025-05-03 05:41:17","true","true","true","true","true","true","TR","1.075","91.000","2.911","41.463"
"103.230.81.33","8080","http","anonymous","2025-05-03 05:40:57","true","true","true","true","true","true","NZ","0.168","45.000","5.832","9.236"
"36.136.27.2","4999","http","anonymous","2025-05-03 05:41:39","true","true","true","true","true","true","CN","7.495","27.000","9.406","47.775"
"92.58.181.171","1194","http","anonymous","2025-05-03 05:40:22","true","true","true","true","true","true","ES","0.447","213.000","1.268","52.344"
"177.93.58.53","999","http","anonymous","2025-05-03 05:40:28","true","true","true","true","true","true","BR","1.175","59.000","4.276","9.138"
"188.132.221.143","8080","http","anonymous","2025-05-03 05:41:17","true","true","true","true","true","true","TR","7.339","26.000","10.193","12.069"
